Variable,Cramers_V
work_interfere,0.6853691934802583
family_history,0.3770143923411825
care_options,0.27153979403715994
benefits,0.22349486009100017
obs_consequence,0.1544803920357149
leave,0.14359769064377487
anonymity,0.13932701519771676
mental_health_consequence,0.12711081952242084
mental_vs_physical,0.11084494549982929
mental_health_interview,0.0921763721580239
wellness_program,0.08688234679597424
seek_help,0.08426544841535756
coworkers,0.05638636105017885
phys_health_consequence,0.032992873941974435
tech_company,0.014109824018750567
remote_work,0.0
supervisor,0.0
